code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume,occupiable_volume_pct,specific_accessible_area,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections
GIS,239.29,1498.98,239.29,1498.98,91.5,9.38,91.5,9.38,2452.32,2452.32,5.6,3.9,4.97,3.32,3.32,3.32,16.4,9.801,9.801,10.158,90.0,90.0,90.0,726.0,0.611111,3,48.0,8.0,4.0,24.0,12.0,72.0
GIU,0.0,0.0,919.13,959.61,0.0,0.0,538.19,9.6,0.0,1640.12,7.0,2.9,6.32,2.59,2.59,2.32,17.1,12.559,12.559,41.026,90.0,90.0,120.0,811.0,0.69333,0,288.0,296.0,16.0,138.0,78.0,320.0
GME,350.28,1462.85,353.86,1477.79,275.64,17.29,275.88,17.3,2196.8,2219.24,7.7,7.7,7.76,3.41,3.41,7.11,15.1,13.672,13.672,9.85,90.0,90.0,120.0,694.0,0.585714,3,72.0,36.0,4.0,28.0,27.0,74.0
GON,164.26,514.49,170.46,533.9,137.45,8.12,137.76,8.14,970.87,1007.49,6.0,6.0,6.32,1.68,1.68,5.45,17.7,16.5,20.185,5.08,90.0,90.0,90.0,926.0,0.787372,1,96.0,69.0,6.0,9.0,15.0,13.0
GOO,271.24,849.56,271.24,849.56,81.51,4.83,81.51,4.83,1607.3,1607.3,5.1,3.6,4.51,3.22,3.22,2.84,19.0,8.748,11.039,17.475,90.0,90.0,90.0,840.0,0.716755,3,96.0,83.0,4.0,51.0,89.0,201.0
HEU,393.77,1096.31,393.77,1096.31,193.53,9.42,193.53,9.42,1916.34,1916.34,6.6,4.3,5.97,3.05,1.34,3.67,17.5,17.523,17.644,7.401,90.0,116.104,90.0,909.0,0.778254,2,108.0,24.0,4.0,24.0,16.0,72.0
IFO,251.04,786.28,251.04,786.28,311.71,16.89,311.71,16.89,1359.86,1359.86,,,7.76,7.22,1.97,1.09,17.3,16.43882,4.9453,22.78303,90.0,90.0,90.0,766.0,,1,,,,,,
IFR,296.93,930.01,296.93,930.01,289.87,15.54,289.87,15.54,1591.72,1591.72,6.3,6.3,7.24,1.64,1.3,6.38,17.2,18.628,13.436,7.629,90.0,102.322,90.0,798.0,0.678236,1,96.0,38.0,12.0,12.0,20.0,12.0
IFW,691.22,1082.49,692.03,1083.77,729.09,17.99,729.1,17.99,1705.81,1707.82,,,7.7,3.28,3.28,5.63,15.8,21.6651,18.23075,12.48474,90.0,124.7398,90.0,827.0,,3,,,,,,
IFY,432.68,903.48,479.3,1000.83,288.92,10.62,303.03,11.14,1590.87,1762.27,,,6.94,3.83,3.83,2.22,17.6,15.15117,15.15117,11.848,90.0,90.0,90.0,760.0,,3,,,,,,
IHW,826.94,740.03,826.94,740.03,588.13,9.7,588.13,9.7,1363.55,1363.55,6.2,4.0,6.67,3.67,1.58,3.67,18.5,13.747,24.069,18.329,90.0,90.0,90.0,1013.0,0.898963,2,336.0,88.0,24.0,31.0,44.0,31.0
IMF,2551.31,887.89,2573.37,895.57,1997.01,12.12,1999.13,12.14,1548.85,1562.25,8.0,5.9,7.34,5.44,1.84,5.2,17.5,14.296,56.788,20.29,90.0,90.0,90.0,964.0,0.846,3,864.0,188.0,63.0,204.0,249.0,438.0
IRN,1064.86,1160.1,1155.33,1258.66,1063.59,17.71,1088.25,18.12,1773.17,1923.82,,,9.17,2.05,3.64,2.81,15.3,19.64099,18.45742,16.56554,90.0,90.0,90.0,754.0,,1,,,,,,
IRR,793.81,1530.03,793.81,1530.03,1671.52,37.79,1671.52,37.79,1794.78,1794.78,12.8,12.8,14.46,6.0,6.0,12.12,11.8,19.031,19.031,14.101,90.0,90.0,120.0,552.0,,3,156.0,74.0,9.0,22.0,59.0,229.0
IRY,1253.8,1653.51,1253.8,1653.51,2800.51,40.9,2800.51,40.9,1831.08,1831.08,,,11.33,9.35,9.35,8.67,11.1,15.9499,15.9499,31.0796,90.0,90.0,120.0,522.0,,3,,,,,,
ISV,795.34,1245.55,796.85,1247.92,907.88,21.34,907.92,21.34,1869.09,1872.64,6.9,6.2,7.01,6.32,6.32,6.28,15.0,12.874,12.874,25.674,90.0,90.0,90.0,772.0,0.694533,3,192.0,108.0,10.0,34.0,46.0,70.0
ITE,746.78,1169.51,746.78,1169.51,669.74,16.45,669.74,16.45,1834.36,1834.36,8.9,4.9,8.3,2.07,4.21,2.8,15.7,20.753,9.804,20.009,90.0,90.0,90.0,824.0,0.711802,2,192.0,16.0,12.0,56.0,28.0,132.0
ITG,607.31,1086.95,607.97,1088.13,530.92,15.72,530.93,15.72,1798.28,1800.23,,,7.0,5.0,6.3,5.21,16.6,12.7411,12.6989,20.9991,90.0,96.29,90.0,832.0,,3,,,,,,
ITH,525.64,940.78,525.64,940.78,372.46,11.59,372.46,11.59,1635.6,1635.6,7.4,5.6,6.72,3.53,5.13,4.99,17.4,12.566,11.662,21.93,90.0,90.0,90.0,910.0,0.799546,3,168.0,96.0,12.0,16.0,32.0,28.0
ITN,648.5,1203.67,648.5,1203.67,566.33,16.74,566.33,16.74,1917.05,1917.05,,,6.95,4.86,4.54,4.7,16.0,24.2005,12.5399,14.2502,72.599,123.128,90.0,842.0,,3,,,,,,
ITR,1060.02,948.61,1060.3,948.86,761.12,11.79,761.13,11.79,1642.25,1642.68,6.5,5.6,6.36,5.12,5.12,3.58,17.4,11.673,21.969,25.17,90.0,90.0,90.0,907.0,,3,336.0,184.0,24.0,95.0,101.0,182.0
ITT,394.88,860.39,394.88,860.39,777.71,25.1,777.71,25.1,1274.36,1274.36,,,11.74,2.29,2.29,11.2,12.8,18.86773,18.86773,11.63328,90.0,90.0,120.0,625.0,,3,,,,,,
ITV,3846.36,2007.88,3846.36,2007.88,6887.88,37.82,6887.88,37.82,2111.97,2111.97,,,9.32,6.98,6.98,6.98,10.5,26.31,26.31,26.31,90.0,90.0,90.0,328.0,,3,,,,,,
ITW,247.24,1032.5,247.24,1032.5,106.05,7.83,106.05,7.83,1825.84,1825.84,5.4,3.4,4.73,2.78,1.54,3.95,17.7,10.45,15.028,8.954,90.0,105.64,90.0,901.0,0.769167,2,72.0,26.0,4.0,13.0,14.0,42.0
IWR,669.7,1198.62,669.7,1198.62,692.87,19.35,692.87,19.35,1870.55,1870.55,8.1,6.5,7.48,4.86,4.86,5.91,15.6,21.233,13.302,12.676,90.0,90.0,90.0,759.0,0.651,3,168.0,120.0,6.0,32.0,43.0,66.0
IWS,1701.32,1253.83,1708.99,1259.48,2132.56,23.19,2133.17,23.2,1850.39,1858.73,7.1,7.1,8.25,6.38,6.38,6.66,14.8,26.689,26.689,12.908,90.0,90.0,90.0,738.0,,3,408.0,192.0,30.0,56.0,62.0,88.0
IWV,1697.65,1119.42,1705.35,1124.5,2254.57,22.28,2254.96,22.28,1677.59,1685.2,8.1,7.1,8.54,2.06,7.03,7.03,15.0,27.826,26.081,13.944,90.0,90.0,90.0,802.0,0.7,2,456.0,112.0,28.0,72.0,96.0,72.0
IWW,1195.68,1070.01,1195.68,1070.01,1030.66,15.3,1030.66,15.3,1774.78,1774.78,7.2,6.9,7.07,4.91,4.91,6.25,16.6,41.691,12.713,12.711,90.0,90.0,90.0,849.0,0.756633,3,336.0,176.0,16.0,58.0,96.0,125.0
JBW,43.92,733.63,43.92,733.63,13.35,4.18,13.35,4.18,1374.64,1374.64,3.8,3.8,4.29,3.72,2.53,1.46,18.8,5.256,7.45,8.159,90.0,90.0,90.0,890.0,0.753333,1,18.0,10.0,0.0,14.0,8.0,20.0
JNT,,,,,,,,,,,,,,,,,20.5,8.2065,14.1364,15.40456,90.0,119.27,90.0,893.0,,2,,,,,,
JOZ,297.97,1493.27,297.97,1493.27,91.66,7.5,91.66,7.5,2438.18,2438.18,5.6,3.9,4.92,3.09,3.5,3.09,16.4,7.1386,12.7091,13.4705,90.0,90.0,90.0,866.0,,3,60.0,12.0,4.0,42.0,16.0,88.0
JRY,196.71,821.5,196.71,821.5,87.87,6.76,87.87,6.76,1514.22,1514.22,5.2,3.9,4.59,2.05,4.4,1.75,18.5,8.165,9.2,17.294,90.0,90.0,90.0,902.0,,1,72.0,72.0,2.0,24.0,18.0,70.0
JSN,154.19,965.87,154.19,965.87,72.02,8.04,72.02,8.04,1722.22,1722.22,5.8,4.0,5.12,1.59,2.75,3.46,17.9,8.7172,6.9231,14.946,90.0,96.992,90.0,785.0,,2,48.0,18.0,5.0,20.0,17.0,68.0
JSR,6143.1,2137.89,6143.1,2137.89,6585.21,28.09,6585.21,28.09,2620.13,2620.13,,,7.83,5.05,5.05,5.05,12.3,19.84503,19.84503,19.84503,90.0,90.0,90.0,661.0,,3,,,,,,
JST,977.6,2041.31,977.6,2041.31,482.64,14.39,482.64,14.39,2914.04,2914.04,6.0,3.8,5.35,3.74,3.74,3.74,14.3,14.97,14.97,14.97,90.0,90.0,90.0,747.0,,3,144.0,40.0,12.0,48.0,40.0,144.0
JSW,0.0,0.0,366.37,765.01,0.0,0.0,174.97,6.71,0.0,1405.75,6.0,2.2,5.38,1.92,2.6,1.65,18.4,16.0185,9.6655,16.8331,90.0,90.0,90.0,852.0,,1,144.0,108.0,4.0,31.0,32.0,62.0
KFI,1363.32,1423.37,1373.96,1434.48,1148.34,17.91,1149.13,17.92,2126.19,2142.78,11.3,4.7,10.67,4.04,4.04,4.04,15.0,18.578,18.578,18.578,90.0,90.0,90.0,681.0,0.571429,3,288.0,184.0,16.0,50.0,30.0,191.0
LAU,202.71,846.53,202.71,846.53,127.63,9.57,127.63,9.57,1519.99,1519.99,5.5,2.8,6.04,2.09,2.09,4.07,18.0,14.587,12.877,7.613,90.0,111.159,90.0,782.0,0.658201,1,72.0,80.0,0.0,18.0,33.0,57.0
LEV,688.45,1277.82,688.83,1278.52,485.54,14.32,485.55,14.32,2030.57,2031.68,7.7,3.4,7.1,3.53,3.53,2.5,15.9,13.168,13.168,22.578,90.0,90.0,120.0,719.0,0.605714,2,162.0,51.0,9.0,63.0,39.0,162.0
LIO,0.0,0.0,323.6,900.94,0.0,0.0,172.43,8.45,0.0,1584.87,6.3,2.5,6.05,2.37,2.37,2.29,17.6,12.281,12.281,15.632,90.0,90.0,120.0,816.0,0.693333,0,108.0,96.0,6.0,24.0,23.0,54.0
LIT,0.0,0.0,21.6,90.19,0.0,0.0,1.3,0.1,0.0,173.03,3.4,2.4,3.24,1.51,1.81,1.53,19.2,14.844,8.594,9.784,90.0,90.0,90.0,768.0,0.655555,0,76.0,24.0,6.0,19.0,30.0,35.0
LOS,0.0,0.0,246.26,1028.42,0.0,0.0,147.98,10.4,0.0,1730.29,7.0,3.1,6.36,2.56,2.56,2.56,16.9,12.607,12.607,10.34,90.0,90.0,120.0,816.0,0.693333,0,72.0,56.0,4.0,35.0,21.0,86.0
LOV,226.15,1259.25,226.15,1259.25,81.03,7.57,81.03,7.57,2111.34,2111.34,5.8,3.4,5.15,3.78,3.78,3.77,16.8,7.163,7.163,20.876,90.0,90.0,90.0,879.0,0.754446,3,54.0,61.0,3.0,20.0,15.0,85.0
LTA,288.51,1204.87,341.67,1426.89,362.92,21.43,390.99,23.09,1703.9,2017.87,11.7,4.9,11.05,4.21,4.21,4.21,14.2,11.919,11.919,11.919,90.0,90.0,90.0,641.0,0.533333,3,72.0,98.0,5.0,71.0,16.0,142.0
LTF,1038.94,964.18,1126.48,1045.42,716.62,11.21,733.81,11.48,1624.8,1761.7,8.1,8.1,8.16,3.25,3.25,7.5,16.9,31.167,31.167,7.601,90.0,90.0,120.0,825.0,,3,324.0,102.0,12.0,86.0,59.0,182.0
LTJ,143.92,901.54,143.92,901.54,30.67,3.56,30.67,3.56,1668.18,1668.18,3.7,3.7,4.1,3.12,3.12,3.12,18.5,9.25,9.25,10.083,90.0,90.0,90.0,897.0,,3,48.0,40.0,0.0,18.0,32.0,43.0
LTL,249.49,694.6,267.89,745.84,330.95,15.37,332.66,15.45,1158.74,1244.23,10.7,8.1,10.01,2.08,2.08,7.5,16.7,18.126,18.126,7.567,90.0,90.0,120.0,746.0,0.619048,1,108.0,89.0,14.0,17.0,25.0,46.0
LTN,0.0,0.0,7408.52,966.85,0.0,0.0,5292.44,11.71,0.0,1638.99,10.8,2.4,10.13,2.08,2.08,2.08,17.0,35.622,35.622,35.622,90.0,90.0,90.0,779.0,0.698452,0,2304.0,1424.0,128.0,702.0,534.0,2096.0
MAR,0.0,0.0,624.27,869.02,0.0,0.0,337.77,8.34,0.0,1540.64,7.0,3.0,6.35,2.43,2.43,2.43,17.6,12.392,12.392,30.469,90.0,90.0,120.0,808.0,0.693333,0,216.0,216.0,12.0,31.0,33.0,83.0
MAZ,385.53,1073.36,385.53,1073.36,275.01,12.72,275.01,12.72,1783.34,1783.34,8.1,8.1,8.09,3.25,3.25,7.5,16.7,18.102,18.102,7.618,90.0,90.0,120.0,823.0,0.697032,1,108.0,33.0,2.0,28.0,18.0,54.0
MEI,486.87,1435.24,486.87,1435.24,489.19,21.11,489.19,21.11,2100.48,2100.48,7.5,7.5,8.06,2.99,2.99,6.9,14.7,13.114,13.114,15.563,90.0,90.0,120.0,728.0,0.630682,3,102.0,12.0,4.0,34.0,18.0,50.0
MEL,857.53,895.3,857.78,895.56,701.92,12.69,701.92,12.69,1550.71,1551.16,8.4,5.7,7.72,5.19,5.19,5.19,17.4,20.27,20.27,13.459,90.0,90.0,90.0,944.0,0.808638,3,288.0,80.0,20.0,83.0,82.0,157.0
MEP,0.0,0.0,404.08,880.43,0.0,0.0,204.49,7.94,0.0,1569.73,6.1,2.3,5.49,1.72,1.72,1.72,17.9,13.705,13.705,13.705,90.0,90.0,90.0,1059.0,0.955379,0,138.0,18.0,8.0,6.0,14.0,12.0
MER,439.29,1375.92,439.29,1375.92,202.62,10.37,202.62,10.37,2247.78,2247.78,7.3,4.8,6.65,3.12,3.12,4.2,16.4,14.012,14.012,9.954,90.0,90.0,90.0,738.0,0.622222,3,96.0,80.0,10.0,16.0,18.0,28.0
MFI,799.21,834.41,799.21,834.41,511.01,9.81,511.01,9.81,1533.61,1533.61,7.0,5.0,6.36,4.7,4.46,4.46,18.4,20.09,19.738,13.142,90.0,90.0,90.0,960.0,0.825819,3,288.0,64.0,12.0,81.0,65.0,141.0
MFS,341.86,951.79,341.86,951.79,226.26,10.96,226.26,10.96,1656.49,1656.49,6.0,6.0,6.81,5.37,3.2,1.57,17.4,7.543,14.388,19.016,90.0,90.0,90.0,995.0,0.86632,2,108.0,17.0,6.0,28.0,24.0,48.0
MON,192.01,1202.81,192.01,1202.81,54.24,5.98,54.24,5.98,2117.88,2117.88,4.9,3.5,4.24,3.54,3.54,3.54,17.6,7.135,7.135,17.809,90.0,90.0,90.0,1033.0,0.885802,2,48.0,15.0,4.0,24.0,16.0,72.0
MOR,483.8,1010.22,483.8,1010.22,346.86,12.27,346.86,12.27,1711.21,1711.21,6.5,6.5,6.7,1.57,2.95,6.45,17.0,18.256,20.534,7.542,90.0,90.0,90.0,938.0,0.80234,1,144.0,40.0,4.0,24.0,16.0,40.0
MOZ,881.26,817.84,924.04,857.55,835.12,13.12,838.84,13.18,1384.21,1451.41,10.7,8.2,10.03,3.42,3.42,7.54,17.0,31.202,31.202,7.551,90.0,90.0,120.0,757.0,0.642857,3,324.0,260.0,28.0,72.0,64.0,187.0
MRE,211.07,440.74,211.07,440.74,160.1,6.55,160.1,6.55,864.16,864.16,6.2,6.2,6.36,5.59,2.0,1.81,19.7,8.257,14.562,20.314,90.0,90.0,90.0,1003.0,,1,144.0,72.0,16.0,75.0,84.0,125.0
MSE,1138.73,1019.04,1164.24,1041.87,1122.27,16.4,1124.25,16.43,1663.89,1701.17,7.2,7.2,7.09,5.0,5.0,6.59,16.4,18.246,18.246,20.557,90.0,90.0,90.0,867.0,0.753,3,336.0,168.0,20.0,63.0,89.0,141.0
MSO,0.0,0.0,646.62,720.11,0.0,0.0,557.13,11.04,0.0,1280.84,7.9,2.6,7.23,2.09,2.09,2.09,17.8,17.165,17.165,19.785,90.0,90.0,120.0,822.0,0.694444,0,270.0,183.0,12.0,112.0,57.0,212.0
MTF,217.89,496.34,217.89,496.34,141.32,6.66,141.32,6.66,1027.09,1027.09,6.9,4.6,6.25,1.58,1.49,4.03,20.7,9.629,30.394,7.249,90.0,90.45,90.0,1083.0,0.942112,1,132.0,29.0,2.0,13.0,13.0,33.0
MTN,0.0,0.0,1314.85,969.01,0.0,0.0,807.88,10.2,0.0,1660.19,8.0,2.5,7.44,2.61,2.61,2.61,17.2,19.933,19.933,19.933,90.0,90.0,90.0,1049.0,0.92759,0,408.0,112.0,24.0,96.0,56.0,240.0
MTT,167.67,700.24,168.53,703.8,105.14,7.98,105.15,7.98,1271.99,1278.46,5.7,5.7,6.19,5.07,2.2,1.53,18.2,5.256,22.031,11.384,90.0,90.0,90.0,1015.0,0.883181,1,72.0,28.0,12.0,36.0,37.0,58.0
MTW,193.38,692.22,206.68,739.84,144.66,9.42,146.61,9.55,1259.18,1345.8,6.3,6.3,6.08,1.27,5.68,2.41,18.2,25.552,5.256,12.117,90.0,109.312,90.0,912.0,0.776004,1,84.0,56.0,2.0,32.0,32.0,60.0
MVY,37.94,316.92,37.94,316.92,5.74,1.0,5.74,1.0,663.33,663.33,4.4,3.1,3.76,2.94,1.8,1.27,21.0,5.021,8.151,13.977,90.0,90.0,90.0,935.0,,1,36.0,34.0,2.0,4.0,6.0,12.0
MWW,837.58,1165.96,841.6,1171.55,787.64,17.43,788.19,17.44,1853.56,1862.46,10.3,5.2,9.69,4.92,4.92,2.6,15.9,14.39,14.39,25.198,90.0,90.0,120.0,851.0,0.752127,2,216.0,100.0,14.0,34.0,30.0,46.0
NAB,161.18,1615.53,161.18,1615.53,43.84,7.05,43.84,7.05,2593.32,2593.32,5.0,3.2,4.31,3.57,3.57,3.57,16.1,7.184,7.184,12.043,90.0,90.0,90.0,873.0,0.740741,3,30.0,28.0,1.0,20.0,11.0,91.0
NAT,306.88,1537.9,306.88,1537.9,111.55,9.06,111.55,9.06,2491.91,2491.91,4.5,4.5,4.52,2.99,2.99,4.38,16.2,13.85,13.85,6.42,90.0,90.0,90.0,834.0,0.740741,3,60.0,52.0,0.0,45.0,83.0,163.0
NES,1348.53,993.83,1386.86,1022.08,1232.9,14.91,1237.22,14.96,1630.4,1676.75,6.6,5.7,7.04,5.07,5.07,2.06,16.4,26.06,13.884,22.86,90.0,90.0,90.0,922.0,0.818688,2,408.0,96.0,24.0,95.0,104.0,126.0
NON,0.0,0.0,695.27,791.88,0.0,0.0,441.37,8.85,0.0,1393.95,7.1,2.9,6.5,2.27,2.3,2.3,17.6,22.862,15.656,13.935,90.0,90.0,90.0,1038.0,0.915319,0,264.0,48.0,20.0,118.0,64.0,236.0
NPO,32.6,544.61,35.52,593.35,8.97,2.8,9.19,2.87,1016.69,1107.67,4.3,4.3,4.23,2.08,2.08,3.71,15.9,8.391,8.391,5.259,90.0,90.0,120.0,869.0,0.75,1,18.0,47.0,2.0,12.0,8.0,20.0
NPT,5894.9,2051.51,5894.9,2051.51,4062.49,19.05,4062.49,19.05,2763.67,2763.67,10.9,4.2,10.28,3.56,3.56,3.56,13.5,13.883,13.883,13.883,90.0,90.0,90.0,774.0,,3,864.0,464.0,40.0,640.0,200.0,1672.0
NSI,86.96,726.3,86.96,726.3,22.24,3.48,22.24,3.48,1360.96,1360.96,4.8,3.4,4.16,2.6,3.3,2.45,18.8,14.129,5.253,8.928,90.0,105.368,90.0,1016.0,0.869213,2,36.0,16.0,2.0,28.0,14.0,68.0
OBW,1644.51,2168.77,1644.51,2168.77,1357.18,22.73,1357.18,22.73,2753.99,2753.99,9.9,5.3,9.26,5.18,5.18,3.62,12.7,13.914,13.914,30.844,90.0,90.0,90.0,756.0,0.689892,3,228.0,60.0,10.0,142.0,50.0,421.0
OFF,209.5,1166.54,212.77,1184.77,168.75,15.09,169.06,15.12,1873.95,1903.23,7.3,7.3,7.0,3.43,3.43,6.61,16.1,13.063,13.063,7.565,90.0,90.0,120.0,739.0,0.628571,3,54.0,35.0,3.0,13.0,10.0,33.0
OKO,611.07,900.69,611.07,900.69,557.21,14.34,557.21,14.34,1573.07,1573.07,,,6.7,1.34,5.1,5.9,17.5,24.06381,13.83322,12.3516,90.0,109.1282,90.0,949.0,,2,,,,,,
